"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","japanese","portuguese",
"STR_MSG_MP_VERSION","Bad version, server rejected connection.","Bad version, server rejected connection.","Špatná verze, server odmítl připojení.","Fehlerhafte Version. Der Server hat die Verbindung abgelehnt.","Некорректная версия, сервер отказал в соединении.","Niepoprawna wersja. Serwer odrzucił połączenie.","Hibás verzió, a szerver visszadobta a csatlakozást.","Versione non valida. Il server ha respinto la connessione.","Versión errónea, el servidor ha rechazado la conexión.","Mauvaise version, connexion rejetée par serveur.","Bad version, server rejected connection.","Bad version, server rejected connection.",
"STR_DIK_F2","F2","F2","F2","F2","F2","F2","F2","F2","F2","F2","F2","F2",
"STR_DIK_F3","F3","F3","F3","F3","F3","F3","F3","F3","F3","F3","F3","F3",
"STR_DIK_F4","F4","F4","F4","F4","F4","F4","F4","F4","F4","F4","F4","F4",
"STR_DIK_F5","F5","F5","F5","F5","F5","F5","F5","F5","F5","F5","F5","F5",
"STR_MSG_MP_CONNECT_ERROR","Connecting failed.","Connecting failed.","Připojení selhalo.","Der Verbindungsvorgang ist gescheitert.","Не удалось соединиться!","Łączenie nie powiodło się.","Nem sikerült csatlakozni.","Connessione non riuscita.","Error al conectar.","Échec de la connexion.","Connecting failed.","Connecting failed.",
"STR_DIK_F6","F6","F6","F6","F6","F6","F6","F6","F6","F6","F6","F6","F6",
"STR_DIK_F7","F7","F7","F7","F7","F7","F7","F7","F7","F7","F7","F7","F7",
"STR_DIK_F8","F8","F8","F8","F8","F8","F8","F8","F8","F8","F8","F8","F8",
"STR_DIK_F9","F9","F9","F9","F9","F9","F9","F9","F9","F9","F9","F9","F9",
"STR_DIK_G","G","G","G","G","G","G","G","G","G","G","G","G",
"STR_DIK_GRAVE","~","~","~","~","~","~","~","\","º","Â²","~","~",
"STR_DIK_H","H","H","H","H","H","H","H","H","H","H","H","H",
"STR_DIK_HOME","Home","Home","Home","Pos 1","Home","Home","Home","Pagina iniziale","Inicio","Début","Home","Home",
"STR_DIK_I","I","I","I","I","I","I","I","I","I","I","I","I",
"STR_MSG_ADDON_VERSION","Addon %s requires version %s of application.","Addon %s requires version %s of application.","Rozšíření %s vyžaduje verzi %s aplikace.","Add-On %s benötigt Version %s der Anwendung","Дополнение %s требует версии приложения %s.","Dodatek %s wymaga wersji %s aplikacji.","A(z) %s kiegészítőhöz a szoftver %s verziója szükséges.","Il contenuto aggiuntivo %s richiede la versione %s dell’applicazione.","El extra %s necesita la versión %s de la aplicación.","L'extension %s requiert la version %s de l'application.","Addon %s requires version %s of application.","Addon %s requires version %s of application.",
"STR_DIK_INSERT","Insert","Insert","Insert","Einfg","Insert","Insert","Insert","Inserisci","Insertar","Inser","Insert","Insert",
"STR_DIK_J","J","J","J","J","J","J","J","J","J","J","J","J",
"STR_MSG_ADDON_MISSING","You cannot play/edit this mission; it is dependent on downloadable content that has been deleted.","You cannot play/edit this mission; it is dependent on downloadable content that has been deleted.","Tuto misi nelze spustit/upravit – je závislá na obsahu, který nelze stáhnout (byl smazán).","Sie können diese Mission nicht spielen/bearbeiten, da sie auf heruntergeladenen Inhalten basiert, die gelöscht wurden.","Вы не можете играть/редактировать это задание, так как оно зависит от скачиваемого контента, который был удален.","Nie możesz rozegrać/edytować tej misji, ponieważ opiera się ona na pobranych danych, które zostały usunięte.","Ezt a küldetést nem tudod elindítani / szerkeszteni. Egy letölthető tartalomtól függ, ami már nem elérhető a rendszeren.","Non puoi giocare/modificare la missione: è legata ad un contenuto scaricabile che è stato cancellato.","No puedes jugar/editar esta misión; depende de contenidos descargables que han sido borrados.","Il est impossible de jouer/modifier cette mission, elle repose sur du contenu téléchargeable qui a été supprimé.","You cannot play/edit this mission; it is dependent on downloadable content that has been deleted.","You cannot play/edit this mission; it is dependent on downloadable content that has been deleted.",
"STR_DIK_K","K","K","K","K","K","K","K","K","K","K","K","K",
"STR_DIK_KANA","Kana","Kana","Kana","Kana","Кана","Kana","Kana","Kana","Kana","Kana","カタカナ","Kana",
"STR_DIK_KANJI","Kanji","Kanji","Kanji","Kanji","Кандзи","Kanji","Kanji","Kanji","Kanji","Kanji","漢字","Kanji",
"STR_DIK_L","L","L","L","L","L","L","L","L","L","L","L","L",
"STR_DIK_LBRACKET","[","[","[","[","[","[","[","Ã¨","`","^","[","[",
"STR_DIK_LCONTROL","Left Ctrl","Left Ctrl","Levý Ctrl","Strg links","Левый Ctrl","Lewy Ctrl","Bal Ctrl","Ctrl sx","Ctrl. Izda","Ctrl G","左Ctrl","Left Ctrl",
"STR_DIK_LEFT","LEFT","LEFT","VLEVO","LINKS","НАЛЕВО","LEWO","BALRA","SINISTRA","IZQUIERDA","GAUCHE","←カーソルキー","LEFT",
"STR_DIK_LMENU","Left Alt","Left Alt","Levý Alt","Alt links","Левый Alt","Lewy Alt","Bal Alt","Alt","Alt Izda.","Alt G","左Alt","Left Alt",
"STR_DIK_LSHIFT","Left Shift","Left Shift","Levý Shift","Shift links","Левый Shift","Lewy Shift","Bal Shift","Maiusc sx","Mayús Izda","Maj G","左Shift","Left Shift",
"STR_SHUTDOWN","Shutdown...","Shutdown...","Ukončuji...","Beende ...","Отключение...","Zamykanie...","Kikapcsolás…","Chiusura in corso...","Cerrar...","Fermeture...","Shutdown...","Shutdown...",
"STR_DIK_LWIN","Left Windows","Left Windows","Levá klávesa Windows","Windows-Taste links","Левая клавиша Windows","Lewy Windows","Bal Windows","Windows sx","Windows izquierda","Windows G","左Windows","Left Windows",
"STR_DIK_M","M","M","M","M","M","M","M","M","M","M","M","M",
"STR_DIK_MAIL","Mail","Mail","Pošta","E-Mail","Почта","Poczta","Levél","Posta","Correo","Courrier","Mail","Mail",
"STR_DIK_MEDIASELECT","Media Select","Media Select","Výběr média","Medien Auswählen","Выбор медиа","Wybór mediów","Médium kiválasztása","Seleziona lettore multim.","Seleccionar medios","Choix média","Media Select","Media Select",
"STR_DIK_MEDIASTOP","Media Stop","Media Stop","Média - stop","Medien Stopp","Остановка медиа","Zatrzymanie mediów","Médium megállítása","Ferma lettore multim.","Detener Medios","Media Stop","Media Stop","Media Stop",
"STR_DIK_MINUS","-","-","-","-","-","-","-","-","-","-","-","-",
"STR_MP_VALIDERROR_1","%s uses modified exe file","%s uses modified exe file","%s používá modifikovaný soubor EXE","%s benutzt modifizierte EXE-Datei","%s использует измененный exe файл","%s używa zmodyfikowanego pliku exe","%s módosított exe fájlt használ","%s utilizza file eseguibile modificato","%s usa archivo exe modificado","%s emploie un fichier exe modifié","%s uses modified exe file","%s uses modified exe file",
"STR_MP_VALIDERROR_2","%s uses modified data file","%s uses modified data file","%s používá modifikovaný datový soubor","%s benutzt modifizierte Daten-Datei","%s использует измененный файл данных","%s używa zmodyfikowanego pliku data","%s módosított adatfájlt használ","%s utilizza un file con dati modificati","%s usa archivo data modificado","%s emploie un fichier de données modifié","%s uses modified data file","%s uses modified data file",
"STR_DIK_MULTIPLY","* [NUM]","* [NUM]","* [NUM]","* [NUM]","* [NUM]","* [NUM]","/ [NUM]","* [Tn]","* [NUM]","* [NUM]","* [テンキー]","* [NUM]",
"STR_DIK_MUTE","Mute","Mute","Ztlumit","Stumm","Без звука","Wyciszony","Elnémítás","Disattiva suono","Silencio","Muet","無音","Mute",
"STR_DIK_MYCOMPUTER","My Computer","My Computer","Tento počítač","Arbeitsplatz","Мой компьютер","Mój komputer","Sajátgép","Risorse del computer","Mi PC","Poste de travail","My Computer","My Computer",
"STR_DIK_N","N","N","N","N","N","N","N","N","N","N","N","N",
"STR_DIK_NEXT","Page Down","Page Down","Page Down","Bild Ab","Page Down","Page Down","Page Down","Pag giù","Av Pág","Page bas","Page Down","Page Down",
"STR_DIK_NEXTTRACK","Next Track","Next Track","Další stopa","Nächster Track","Следующий трек","Następna ścieżka","Következő Szám","Traccia succ.","Siguiente pista","Morceau suiv.","Next Track","Next Track",
"STR_DIK_NOCONVERT","No Convert","No Convert","Nekonvertovat","Nicht umwandeln","Без конвертирования","Bez zmiany","Nincs konvertálás","Non convertire","No convertir","No Convert","No Convert","No Convert",
"STR_DIK_NUMLOCK","Num Lock","Num Lock","Num Lock","Num Lock","Num Lock","Num Lock","Num Lock","Bloc Num","Bloq Núm","Verr. Num.","Num Lock","Num Lock",
"STR_DIK_NUMPAD0","0 [NUM]","0 [NUM]","0 [NUM]","0 [NUM]","0 [NUM]","0 [NUM]","0 [NUM]","0 [Tn]","0 [NUM]","0 [NUM]","0 [テンキー]","0 [NUM]",
"STR_DIK_NUMPAD1","1 [NUM]","1 [NUM]","1 [NUM]","1 [NUM]","1 [NUM]","1 [NUM]","1 [NUM]","1 [Tn]","1 [NUM]","1 [NUM]","1 [テンキー]","1 [NUM]",
"STR_DIK_NUMPAD2","2 [NUM]","2 [NUM]","2 [NUM]","2 [NUM]","2 [NUM]","2 [NUM]","2 [NUM]","2 [Tn]","2 [NUM]","2 [NUM]","2 [テンキー]","2 [NUM]",
"STR_DIK_NUMPAD3","3 [NUM]","3 [NUM]","3 [NUM]","3 [NUM]","3 [NUM]","3 [NUM]","3 [NUM]","3 [Tn]","3 [NUM]","3 [NUM]","3 [テンキー]","3 [NUM]",
"STR_DIK_NUMPAD4","4 [NUM]","4 [NUM]","4 [NUM]","4 [NUM]","4 [NUM]","4 [NUM]","4 [NUM]","4 [Tn]","4 [NUM]","4 [NUM]","4 [テンキー]","4 [NUM]",
"STR_DIK_NUMPAD5","5 [NUM]","5 [NUM]","5 [NUM]","5 [NUM]","5 [NUM]","5 [NUM]","5 [NUM]","5 [Tn]","5 [NUM]","5 [NUM]","5 [テンキー]","5 [NUM]",
"STR_DIK_NUMPAD6","6 [NUM]","6 [NUM]","6 [NUM]","6 [NUM]","6 [NUM]","6 [NUM]","6 [NUM]","6 [Tn]","6 [NUM]","6 [NUM]","6 [テンキー]","6 [NUM]",
"STR_DIK_NUMPAD7","7 [NUM]","7 [NUM]","7 [NUM]","7 [NUM]","7 [NUM]","7 [NUM]","7 [NUM]","7 [Tn]","7 [NUM]","7 [NUM]","7 [テンキー]","7 [NUM]",
"STR_DIK_NUMPAD8","8 [NUM]","8 [NUM]","8 [NUM]","8 [NUM]","8 [NUM]","8 [NUM]","8 [NUM]","8 [Tn]","8 [NUM]","8 [NUM]","8 [テンキー]","8 [NUM]",
"STR_DIK_NUMPAD9","9 [NUM]","9 [NUM]","9 [NUM]","9 [NUM]","9 [NUM]","9 [NUM]","9 [NUM]","9 [Tn]","9 [NUM]","9 [NUM]","9 [テンキー]","9 [NUM]",
"STR_MP_LOGGED","Logged in as admin","Logged in as admin","Přihlášen jako správce","Als Admin angemeldet","Выполнен вход в качестве админа","Zalogowany jako admin","Adminként jelentkezett be","Connesso come amministratore","Conectado como admin","Connecté comme admin.","Logged in as admin","Logged in as admin",
"STR_MP_LOGGED_OUT","Logged out","Logged out","Odhlášen","Abgemeldet","Выход","Wylogowany","Kijelentkezett","Non connesso","Desconectado","Déconnecté","Logged out","Logged out",
"STR_DIK_NUMPADCOMMA",". [NUM]",". [NUM]",". [NUM]",". [NUM]",". [NUM]",". [NUM]",". [NUM]",". [Tn]",". [NUM]",". [NUM]",". [テンキー]",". [NUM]",
"STR_DIK_NUMPADENTER","Enter [NUM]","Enter [NUM]","Enter [NUM]","Enter [NUM]","Enter [NUM]","Enter [NUM]","Enter [NUM]","Invio [Tn]","Intro [NUM]","Entrée [NUM]","Enter [テンキー]","Enter [NUM]",
"STR_DISP_DEFAULT","Default","Default","Výchozí","Voreinst.","По умолч.","Domyślny","Alapérték","Predefinito","Predet.","Par défaut","デフォルト","Default",
"STR_DIK_NUMPADEQUALS","= [NUM]","= [NUM]","= [NUM]","= [NUM]","= [NUM]","= [NUM]","= [NUM]","= [Tn]","= [NUM]","= [NUM]","= [テンキー]","= [NUM]",
"STR_DIK_O","O","O","O","O","O","O","O","O","O","O","O","O",
"STR_DIK_OEM_102","OEM 102","OEM 102","OEM 102","OEM 102","OEM 102","OEM 102","OEM 102","<","<","<","OEM 102","OEM 102",
"STR_MSG_MP_SESSION_FULL","Maximum number of players has been reached.","Maximum number of players has been reached.","Bylo dosaženo maximálního počtu hráčů.","Maximale Spielerzahl erreicht.","Достигнуто максимальное число игроков!","Osiągnięto maksymalną liczbę graczy.","A játék megtelt. Nem tudsz csatlakozni.","È stato raggiunto il numero massimo di giocatori.","Se ha alcanzado el máximo de jugadores.","Nombre maximal de joueurs déjà atteint.","Maximum number of players has been reached.","Maximum number of players has been reached.",
"STR_DIK_P","P","P","P","P","P","P","P","P","P","P","P","P",
"STR_DIK_PAUSE","Pause","Pause","Pauza","Pause","Пауза","Pauza","Pause","Pausa","Pausa","Pause","Pause","Pause",
"STR_DIK_PERIOD",".",".",".",".",".",".",".",".",".",":",".",".",
"STR_DIK_PLAYPAUSE","Play / Pause","Play / Pause","Hrát / Pauza","Abspielen/Pause","Пуск / Пауза","Odtwarzaj / Pauza","Lejátszás / Szünet","Riproduci/Interrompi","Reproducir / Pausa","Lect./pause","Play / Pause","Play / Pause",
"STR_DIK_POWER","System Power","System Power","Vypnutí systému","System Power","Питание системы","Zasilanie systemu","Rendszer Bekapcsolás","Alimentazione sistema","Energía del sistema","Marche syst.","System Power","System Power",
"STR_DIK_PREVTRACK","Previous Track","Previous Track","Předchozí stopa","Letzter Track","Предыдущий трек","Poprzednia ścieżka","Előző Szám","Traccia prec.","Pista anterior","Morceau préc.","Previous Track","Previous Track",
"STR_DIK_PRIOR","Page Up","Page Up","Page Up","Bild Auf","Page Up","Page Up","Page Up","Pag su","Re Pág","Page haut","Page Up","Page Up",
"STR_DIK_Q","Q","Q","Q","Q","Q","Q","Q","Q","Q","A","Q","Q",
"STR_DIK_R","R","R","R","R","R","R","R","R","R","R","R","R",
"STR_DIK_RBRACKET","]","]","]","]","]","]","]","+","+","$","]","]",
"STR_DISP_OPT_DISABLED","Disabled","Disabled","Zakázáno","Deaktiviert","Откл.","Wyłączone","Kikapcsolva","Disattivato","Desactivado","Désactivé","無効","Disabled",
"STR_DIK_RCONTROL","Right Ctrl","Right Ctrl","Pravý Ctrl","Strg rechts","Правый Ctrl","Prawy Ctrl","Jobb Ctrl","Ctrl dx","Ctrl. Dcha.","Ctrl D","右Ctrl","Right Ctrl",
"STR_ENABLED","Enabled","Enabled","Povoleno","Aktiviert","Вкл.","Włączone","Bekapcsolva","Attivato","Activado","Activé","有効","Enabled",
"STR_DIK_RETURN","Enter","Enter","Enter","Eingabe","Enter","Enter","Enter","Invio","Intro","Entrée","Enter","Enter",
"STR_DIK_RIGHT","RIGHT","RIGHT","VPRAVO","RECHTS","НАПРАВО","PRAWO","JOBBRA","DESTRA","DERECHA","DROITE","→カーソルキー","RIGHT",
"STR_DIK_RMENU","Right Alt","Right Alt","Pravý Alt","Alt rechts","Правый Alt","Prawy Alt","Jobb Alt","Alt Gr","Alt Dcha.","Alt D","右Alt","Right Alt",
"STR_DIK_RSHIFT","Right Shift","Right Shift","Pravý Shift","Shift rechts","Правый Shift","Prawy Shift","Jobb Shift","Maiusc dx","Mayús Dcha.","Maj D","右Shift","Right Shift",
"STR_DIK_RWIN","Right Windows","Right Windows","Pravá klávesa Windows","Windows-Taste rechts","Правая клавиша Windows","Prawy Windows","Jobb Windows","Windows dx","Windows derecha","Windows D","右Windows","Right Windows",
"STR_DIK_S","S","S","S","S","S","S","S","S","S","S","S","S",
"STR_DIK_SCROLL","Scroll Lock","Scroll Lock","Scroll lock","Scroll Lock","Scroll lock","Scroll Lock","Scroll Lock","Bloc Scorr","Bloq Despl","Arrêt défil.","Scroll Lock","Scroll Lock",
"STR_DIK_SEMICOLON",";",";",";",";",";",";",";","ò","Ñ","M",";",";",
"STR_DIK_SLASH","/","/","/","/","/","/","/","-","-","!","/","/",
"STR_DIK_SLEEP","System Sleep","System Sleep","Uspat systém","System Sleep","Спящий режим системы","Stan oczekiwania systemu","Rendszer Alvás","Sospensione sistema","Sistema descanso","Veille syst.","System Sleep","System Sleep",
"STR_DIK_SPACE","Space","Space","Mezerník","Leertaste","Пробел","Spacja","Szóköz","Spazio","Espacio","Espace","Space","Space",
"STR_DISABLED","Disabled","Disabled","Zakázáno","Deaktiviert","Откл.","Wyłączone","Kikapcsolva","Disattivato","Desactivado","Désactivé","無効","Disabled",
"STR_DIK_STOP","Stop","Stop","Stop","Stopp","Стоп","Stop","Stop","Alt","Parar","Arrêt","Stop","Stop",
"STR_DIK_SUBTRACT","- [NUM]","- [NUM]","- [NUM]","- [NUM]","- [NUM]","- [NUM]","- [NUM]","- [Tn]","- [NUM]","- [NUM]","- [テンキー]","- [NUM]",
"STR_DIK_SYSRQ","System Request","System Request","Systémový požadavek","System-Anfrage","Системный запрос","Wymagania systemu","Rendszer Kérés","Richiesta sistema","Solicitud del sistema","Syst","System Request","System Request",
"STR_DIK_T","T","T","T","T","T","T","T","T","T","T","T","T",
"STR_DIK_TAB","Tab","Tab","Tabelátor","Tab","Tab","Tab","Tab","Tab","Tab","Tab","Tab","Tab",
"STR_DIK_U","U","U","U","U","U","U","U","U","U","U","U","U",
"STR_DIK_UNDERLINE","_","_","_","_","_","_","_","?","_","_","_","_",
"STR_DIK_UNLABELED","Unlabeled","Unlabeled","Neoznačený","Nicht bezeichnet","Непомеченный","Nieoznaczona","Nincs megjelölve","Senza etichetta","Sin etiquetar","Unlabeled","Unlabeled","Unlabeled",
"STR_DIK_UP","UP","UP","NAHORU","OBEN","ВВЕРХ","GÓRA","FEL","SU","ARRIBA","HAUT","↑カーソルキー","UP",
